Provinsi,Tahun,Rata-Rata
Jambi,2000,27.76
Jambi,2001,28.12
Jambi,2002,28.83
Jambi,2003,29.39
Jambi,2004,28.95
Jambi,2005,26.8
Jambi,2006,26.77
Jambi,2007,26.6
Jambi,2008,26.5
Jambi,2009,27.1
Jambi,2010,27.1
Jambi,2011,26.9
Jambi,2012,26.7
Jambi,2013,26.75
Jambi,2014,27.2
Jambi,2015,27
Jambi,2016,28.15
Jambi,2017,27.83
Jambi,2018,27.95
Jambi,2019,N/A
Jambi,2020,N/A
Jambi,2021,26.9
Jambi,2022,27
Jambi,2023,27
